class,feature,coefficient
Ankle,num__vgrf_peak_aff,0.2283131950703749
Ankle,num__vgrf_peak_unaff,-0.24683669686674628
Ankle,num__vgrf_peak_asym,-0.23573293835856335
Ankle,num__loading_rate_asym,-0.014489999196169832
Ankle,num__ap_braking_impulse_asym,0.045259206956276915
Ankle,num__ap_propulsion_impulse_asym,0.4238016607292233
Ankle,num__push_off_index,-0.47608175229067334
Ankle,num__cop_ap_range_aff,-0.24627465186926228
Ankle,num__cop_ml_range_aff,0.19341854602384748
Ankle,num__cop_path_length_aff,0.03635080032920605
Ankle,num__cop_ap_range_asym,0.09542179925983887
Ankle,num__cop_ml_range_asym,-0.1450158022552628
Ankle,num__walking_speed,0.0995441125727469
Ankle,num__age,-0.09722501746196002
Ankle,num__height,-0.1007660032516811
Ankle,num__weight,0.2872964615230916
Ankle,cat__sex_0,0.01111580042956876
Ankle,cat__sex_1,0.2140319737301533
Ankle,cat__shoe_condition_0,-1.1530968182949968
Ankle,cat__shoe_condition_1,-0.1831609121504029
Ankle,cat__shoe_condition_2,1.561405504605102
Calcaneus,num__vgrf_peak_aff,0.05557577840726206
Calcaneus,num__vgrf_peak_unaff,0.09374747145092328
Calcaneus,num__vgrf_peak_asym,0.08472378902071273
Calcaneus,num__loading_rate_asym,-0.11809468998676224
Calcaneus,num__ap_braking_impulse_asym,-0.07321261219516621
Calcaneus,num__ap_propulsion_impulse_asym,0.4304450922288506
Calcaneus,num__push_off_index,-0.7904704947091508
Calcaneus,num__cop_ap_range_aff,-0.645886369955796
Calcaneus,num__cop_ml_range_aff,-0.018216516990125903
Calcaneus,num__cop_path_length_aff,0.9317395120942055
Calcaneus,num__cop_ap_range_asym,0.011063067383093626
Calcaneus,num__cop_ml_range_asym,-0.037957918970385335
Calcaneus,num__walking_speed,0.10146330507517584
Calcaneus,num__age,0.15711196550790765
Calcaneus,num__height,-0.043938876282510295
Calcaneus,num__weight,-0.21501862988774614
Calcaneus,cat__sex_0,-0.2059895358274365
Calcaneus,cat__sex_1,0.43069651968580486
Calcaneus,cat__shoe_condition_0,-1.0656199301538753
Calcaneus,cat__shoe_condition_1,-0.5277071648314104
Calcaneus,cat__shoe_condition_2,1.8180340788436433
Healthy,num__vgrf_peak_aff,0.6007393248757593
Healthy,num__vgrf_peak_unaff,0.006648271071592535
Healthy,num__vgrf_peak_asym,-0.1713318066274575
Healthy,num__loading_rate_asym,-0.18508315201161002
Healthy,num__ap_braking_impulse_asym,0.09928077839542014
Healthy,num__ap_propulsion_impulse_asym,-0.4057326392297456
Healthy,num__push_off_index,0.595407582138234
Healthy,num__cop_ap_range_aff,0.9635754558438563
Healthy,num__cop_ml_range_aff,-0.1711092249542117
Healthy,num__cop_path_length_aff,-1.2831746096323597
Healthy,num__cop_ap_range_asym,0.03281350563546583
Healthy,num__cop_ml_range_asym,0.1027107166283431
Healthy,num__walking_speed,-0.24916797177756536
Healthy,num__age,-0.28172803715001055
Healthy,num__height,0.07668646577582984
Healthy,num__weight,0.08159705000346731
Healthy,cat__sex_0,0.09912938655825457
Healthy,cat__sex_1,-0.6310929477630721
Healthy,cat__shoe_condition_0,1.6289828421752377
Healthy,cat__shoe_condition_1,0.36473270975041694
Healthy,cat__shoe_condition_2,-2.5256791131304417
Hip,num__vgrf_peak_aff,-0.4359330834554705
Hip,num__vgrf_peak_unaff,0.13847208863404123
Hip,num__vgrf_peak_asym,0.22083692349328066
Hip,num__loading_rate_asym,0.1274042209006038
Hip,num__ap_braking_impulse_asym,-0.06944221150798499
Hip,num__ap_propulsion_impulse_asym,-0.23219619261833493
Hip,num__push_off_index,0.3281907135717397
Hip,num__cop_ap_range_aff,0.2411445105764158
Hip,num__cop_ml_range_aff,0.017244954567623403
Hip,num__cop_path_length_aff,-0.04741139076025763
Hip,num__cop_ap_range_asym,-0.09774235468420198
Hip,num__cop_ml_range_asym,0.08011894040445972
Hip,num__walking_speed,0.008832009963334149
Hip,num__age,0.21808916671305448
Hip,num__height,0.0220757300461831
Hip,num__weight,-0.2627334713610891
Hip,cat__sex_0,-0.28968678855902263
Hip,cat__sex_1,0.15686171657587886
Hip,cat__shoe_condition_0,0.572987481444565
Hip,cat__shoe_condition_1,0.31002762839884423
Hip,cat__shoe_condition_2,-1.0158401818265446
Knee,num__vgrf_peak_aff,-0.4486952148979472
Knee,num__vgrf_peak_unaff,0.007968865710189491
Knee,num__vgrf_peak_asym,0.1015040324720327
Knee,num__loading_rate_asym,0.19026362029393773
Knee,num__ap_braking_impulse_asym,-0.0018851616485465476
Knee,num__ap_propulsion_impulse_asym,-0.21631792110999432
Knee,num__push_off_index,0.3429539512898395
Knee,num__cop_ap_range_aff,-0.31255894459522676
Knee,num__cop_ml_range_aff,-0.021337758647146293
Knee,num__cop_path_length_aff,0.3624956879692374
Knee,num__cop_ap_range_asym,-0.0415560175941943
Knee,num__cop_ml_range_asym,0.00014406419285001776
Knee,num__walking_speed,0.03932854416630216
Knee,num__age,0.003751922391022841
Knee,num__height,0.04594268371218036
Knee,num__weight,0.10885858972229186
Knee,cat__sex_0,0.3854311373986218
Knee,cat__sex_1,-0.1704972622287708
Knee,cat__shoe_condition_0,0.016746424829056295
Knee,cat__shoe_condition_1,0.036107738832540016
Knee,cat__shoe_condition_2,0.16207971150824738
