class,feature,coefficient
Ankle,num__vgrf_peak_aff,0.2880062292803785
Ankle,num__vgrf_peak_unaff,-0.29092642372449895
Ankle,num__vgrf_peak_asym,-0.2670600311982097
Ankle,num__loading_rate_asym,-0.0425655649575784
Ankle,num__ap_braking_impulse_asym,0.04190318355857326
Ankle,num__ap_propulsion_impulse_asym,0.36249141748708325
Ankle,num__push_off_index,-0.3818807855246736
Ankle,num__cop_ap_range_aff,-0.13195221930023282
Ankle,num__cop_ml_range_aff,0.24605535621427677
Ankle,num__cop_path_length_aff,0.13237016938629234
Ankle,num__cop_ap_range_asym,0.03643434431293663
Ankle,num__cop_ml_range_asym,-0.18345190238137574
Ankle,cat__shoe_condition_0,-0.848874158818076
Ankle,cat__shoe_condition_1,-0.28568992578250574
Ankle,cat__shoe_condition_2,1.5475219763341068
Calcaneus,num__vgrf_peak_aff,0.2688350938388925
Calcaneus,num__vgrf_peak_unaff,-0.002000920108044182
Calcaneus,num__vgrf_peak_asym,0.017069615894969584
Calcaneus,num__loading_rate_asym,-0.22146074866601384
Calcaneus,num__ap_braking_impulse_asym,-0.07494890230536572
Calcaneus,num__ap_propulsion_impulse_asym,0.45440553413864015
Calcaneus,num__push_off_index,-0.8485615538943295
Calcaneus,num__cop_ap_range_aff,-0.6716069164620765
Calcaneus,num__cop_ml_range_aff,0.028461009039665912
Calcaneus,num__cop_path_length_aff,0.9718951483518549
Calcaneus,num__cop_ap_range_asym,0.0046977695498040175
Calcaneus,num__cop_ml_range_asym,-0.06863491862605334
Calcaneus,cat__shoe_condition_0,-1.0221389245027153
Calcaneus,cat__shoe_condition_1,-0.4771656524101485
Calcaneus,cat__shoe_condition_2,1.9121985454155879
Healthy,num__vgrf_peak_aff,0.3427151757123482
Healthy,num__vgrf_peak_unaff,0.04007973637212069
Healthy,num__vgrf_peak_asym,-0.09351298075010077
Healthy,num__loading_rate_asym,-0.10816704893163145
Healthy,num__ap_braking_impulse_asym,0.10926832389961144
Healthy,num__ap_propulsion_impulse_asym,-0.3933007877256313
Healthy,num__push_off_index,0.6108508632340532
Healthy,num__cop_ap_range_aff,0.8922024428028756
Healthy,num__cop_ml_range_aff,-0.293278762442661
Healthy,num__cop_path_length_aff,-1.3756386009968864
Healthy,num__cop_ap_range_asym,0.08817862414086415
Healthy,num__cop_ml_range_asym,0.17795003107300653
Healthy,cat__shoe_condition_0,1.394650200690505
Healthy,cat__shoe_condition_1,0.4324750290066663
Healthy,cat__shoe_condition_2,-2.724354682257196
Hip,num__vgrf_peak_aff,-0.33235970337428783
Hip,num__vgrf_peak_unaff,0.12565223137912843
Hip,num__vgrf_peak_asym,0.19115891961118095
Hip,num__loading_rate_asym,0.09993249477069763
Hip,num__ap_braking_impulse_asym,-0.07545271636354563
Hip,num__ap_propulsion_impulse_asym,-0.1743834726097263
Hip,num__push_off_index,0.2238384923372751
Hip,num__cop_ap_range_aff,0.256183754836377
Hip,num__cop_ml_range_aff,0.07075400202879968
Hip,num__cop_path_length_aff,-0.08132802594563354
Hip,num__cop_ap_range_asym,-0.10253074008927797
Hip,num__cop_ml_range_asym,0.0538091744330123
Hip,cat__shoe_condition_0,0.5272279140808639
Hip,cat__shoe_condition_1,0.29467187430365444
Hip,cat__shoe_condition_2,-0.8991653574266663
Knee,num__vgrf_peak_aff,-0.567196795457346
Knee,num__vgrf_peak_unaff,0.12719537608130124
Knee,num__vgrf_peak_asym,0.15234447644217494
Knee,num__loading_rate_asym,0.27226086778452435
Knee,num__ap_braking_impulse_asym,-0.0007698887892585841
Knee,num__ap_propulsion_impulse_asym,-0.24921269129037837
Knee,num__push_off_index,0.39575298384769536
Knee,num__cop_ap_range_aff,-0.3448270618769605
Knee,num__cop_ml_range_aff,-0.05199160484006729
Knee,num__cop_path_length_aff,0.35270130920436105
Knee,num__cop_ap_range_asym,-0.026779997914357305
Knee,num__cop_ml_range_asym,0.020327615501419587
Knee,cat__shoe_condition_0,-0.050865031450583624
Knee,cat__shoe_condition_1,0.035708674882331495
Knee,cat__shoe_condition_2,0.16379951793419734
