class,feature,coefficient
Ankle,num__vgrf_peak_aff,-0.10827701675751625
Ankle,num__vgrf_peak_unaff,-0.14309548589968973
Ankle,num__vgrf_peak_asym,-0.10442882325709127
Ankle,num__loading_rate_asym,0.17049398944687905
Ankle,num__walking_speed,0.059143285412459855
Ankle,num__age,-0.011395181551424292
Ankle,num__height,-0.09152894411241601
Ankle,num__weight,0.2191075901311804
Ankle,cat__sex_0,-0.0008748143724852061
Ankle,cat__sex_1,0.2653284920698948
Ankle,cat__shoe_condition_0,-0.8279464217686534
Ankle,cat__shoe_condition_1,-0.33056078911627423
Ankle,cat__shoe_condition_2,1.422960888582339
Calcaneus,num__vgrf_peak_aff,-0.6200550073935284
Calcaneus,num__vgrf_peak_unaff,0.4062988003975307
Calcaneus,num__vgrf_peak_asym,0.35599151455221273
Calcaneus,num__loading_rate_asym,0.16352763702238798
Calcaneus,num__walking_speed,0.04875410339371781
Calcaneus,num__age,0.2609686426435146
Calcaneus,num__height,0.05130281770052068
Calcaneus,num__weight,-0.1938025313220408
Calcaneus,cat__sex_0,-0.407145973253402
Calcaneus,cat__sex_1,0.5896544668028507
Calcaneus,cat__shoe_condition_0,-1.3451188968553154
Calcaneus,cat__shoe_condition_1,-0.5092705610681916
Calcaneus,cat__shoe_condition_2,2.036897951472963
Healthy,num__vgrf_peak_aff,1.1820674671692901
Healthy,num__vgrf_peak_unaff,-0.3195359930183956
Healthy,num__vgrf_peak_asym,-0.4002619419655051
Healthy,num__loading_rate_asym,-0.48314415594518084
Healthy,num__walking_speed,-0.20385034408982022
Healthy,num__age,-0.3849650294860035
Healthy,num__height,-0.01613880219331489
Healthy,num__weight,0.021991822962298638
Healthy,cat__sex_0,0.370977117189516
Healthy,cat__sex_1,-0.8198504057315456
Healthy,cat__shoe_condition_0,2.0012550435560743
Healthy,cat__shoe_condition_1,0.442589743368924
Healthy,cat__shoe_condition_2,-2.892718075467077
Hip,num__vgrf_peak_aff,-0.1607931951735929
Hip,num__vgrf_peak_unaff,0.023257503395792002
Hip,num__vgrf_peak_asym,0.08613125997056564
Hip,num__loading_rate_asym,-0.0005467771830575715
Hip,num__walking_speed,0.03188933078327557
Hip,num__age,0.17151993346934374
Hip,num__height,0.03456079439706299
Hip,num__weight,-0.1944032638586612
Hip,cat__sex_0,-0.34391119549621474
Hip,cat__sex_1,0.161811705858296
Hip,cat__shoe_condition_0,0.24013739735826783
Hip,cat__shoe_condition_1,0.3562307519348097
Hip,cat__shoe_condition_2,-0.7784676389309783
Knee,num__vgrf_peak_aff,-0.2929422478446524
Knee,num__vgrf_peak_unaff,0.033075175124767396
Knee,num__vgrf_peak_asym,0.06256799069981278
Knee,num__loading_rate_asym,0.14966930665896538
Knee,num__walking_speed,0.06406362450036238
Knee,num__age,-0.03612836507549972
Knee,num__height,0.02180413420816397
Knee,num__weight,0.14710638208720084
Knee,cat__sex_0,0.38095486593259215
Knee,cat__sex_1,-0.19694425899947865
Knee,cat__shoe_condition_0,-0.0683271222903872
Knee,cat__shoe_condition_1,0.04101085488072909
Knee,cat__shoe_condition_2,0.21132687434275874
