feature,importance_mean,importance_std
walking_speed,0.08100175498396492,0.00045608383879365896
height,0.053013094854849355,0.0019811637353312215
sex,0.042981638963263,0.0013585956749472988
shoe_condition,0.028515026788712837,0.001054033077112295
age,0.028342540915150382,0.0026140327915817906
weight,0.01749107615439547,0.0013155744777431572
vgrf_peak_asym,0.001948876538004163,0.00032884628640597396
loading_rate_asym,0.001905060818835924,0.0008528672103510813
vgrf_peak_aff,0.001872309331479871,0.0013789399367292446
vgrf_peak_unaff,-0.0006652440597318509,0.001109555966601665
