feature,importance_mean,importance_std
cop_path_length_mean,0.129983309114796,0.0046682938268905565
loading_rate_sym,0.03665184058004103,0.0029718039289363214
vgrf_peak_diff,0.03071912492707818,0.0031366169914203543
loading_rate_max,0.021004662364451643,0.0026354829532312975
loading_rate_mean,0.02088343580242622,0.0036604903474950477
body_mass,0.015940100105470333,0.0034144624891267426
height,0.015128525576306572,0.003667972553536173
body_weight,0.0126794285480478,0.0006166615096123271
ap_braking_impulse_mean,0.009058164766753408,0.0009341530647265022
bmi,0.0076848955446984,0.0019193787161900084
vgrf_peak_max,0.007046705764993488,0.0014452381220389776
push_off_index,0.004814314363484185,0.0010644322018224775
cop_ap_range_mean,0.004066263289283123,0.002839725441284364
ap_propulsion_impulse_mean,0.0037239694628551146,0.002398196769365708
age,0.0029899920841276904,0.002608957856810424
vgrf_left_81,0.0025230374633943287,0.0012350417539508968
vgrf_left_84,0.002522680695648938,0.0007971043823260592
vgrf_right_80,0.002294079091230605,0.0006533446882290566
vgrf_peak_mean,0.0022873290698194547,0.0008693397662385032
vgrf_right_77,0.0021223550000064595,0.0013999393588936299
vgrf_left_87,0.002121081711462991,0.0004278655469840333
ap_propulsion_impulse_sym,0.0021200526657862984,0.0006687907359785319
vgrf_right_10,0.0021191918612151637,0.0008422621901105335
vgrf_right_12,0.002118768957803785,0.000985873874928715
vgrf_right_79,0.002065965938204295,0.0010479633516307174
vgrf_left_86,0.0020058579431870617,0.0009601612105990983
vgrf_right_83,0.0019526840042193515,0.0006652708521341226
vgrf_left_82,0.0019492162970919935,0.0013018807064071418
vgrf_left_80,0.001892920079635263,0.001066245380615973
shoe_size,0.0018911810639550496,0.0006680960160857158
vgrf_left_85,0.0018345465208297273,0.0011271302812024733
vgrf_right_13,0.0018337659141581363,0.0008220731318072578
cop_ap_range_sym,0.0018315015898885845,0.0013148420822576543
cop_ml_range_mean,0.00177261625204439,0.0007563140401186032
vgrf_right_86,0.0016653317824319113,0.00037996214822082436
vgrf_right_11,0.0016601757861681276,0.0011229759349887924
vgrf_right_76,0.0016084229002817584,0.0008816403639218711
vgrf_right_91,0.0016045955833662528,0.001276638920449781
vgrf_right_84,0.001549870760385086,0.0008039168592646453
vgrf_right_78,0.0014917201087303543,0.0013983596803199456
vgrf_right_81,0.0014907187520480703,0.0014881873752513716
vgrf_left_88,0.0014905184061692277,0.000281033555315249
vgrf_left_83,0.001375522996464995,0.001247318080629471
vgrf_right_14,0.0013184390263987877,0.0005309902722587514
vgrf_left_21,0.0012599529177651503,0.0006431087244367458
cop_ml_range_sym,0.0012581926913657559,0.0007394019612834812
vgrf_right_74,0.0011500122437752669,0.000770203953168584
ap_braking_impulse_sym,0.0010909685802493296,0.0004213066461405156
vgrf_left_77,0.0010899769073572153,0.0004588349824168504
vgrf_left_74,0.0010897128148040559,0.0003804101310798401
vgrf_right_9,0.0010882188321266416,0.0006115274446431821
vgrf_left_76,0.0010327090193581912,0.00042974643114660117
vgrf_right_56,0.0010323595457259582,0.0006449559489939974
vgrf_right_73,0.0009763277362084821,0.0005900035530136061
vgrf_right_82,0.0009760787732806308,0.0009348187858168043
vgrf_right_85,0.0009758627267483666,0.0009672068891087459
vgrf_left_59,0.0009186402759502998,0.00033384273723039565
vgrf_right_55,0.0009182450222638527,0.0006633345462480465
vgrf_left_73,0.0008612000548515519,0.00018161945150707432
vgrf_left_18,0.0008610314231859206,0.0005438508967195765
vgrf_left_62,0.00086062889478562,0.0003635358925987829
vgrf_right_75,0.0008070503532100481,0.000734948466956396
vgrf_left_75,0.0008048561356510664,0.000711264810814611
vgrf_right_15,0.0008035941974045668,0.0003346010670553598
vgrf_right_87,0.0008035832695256984,0.0006880824896989088
vgrf_left_56,0.0008035566722877973,0.00021449811885058877
vgrf_right_94,0.0008031817609142067,0.0008947301163754761
vgrf_left_60,0.0008022826499589853,0.0003804814752091404
vgrf_right_72,0.0007461596301612694,0.0006436319235592841
vgrf_right_54,0.0007457670048927501,0.0004287039767309745
vgrf_left_94,0.0007453805979802164,0.0008986130509644678
vgrf_left_79,0.0007447526590581343,0.0008231942161193196
vgrf_left_19,0.0006890452705233141,0.001237152916398864
vgrf_left_58,0.0006887318465359727,0.0005617028983862032
vgrf_right_52,0.0006883185785173218,0.0008226707647369793
vgrf_left_54,0.0006883174481987942,0.0005312151576477666
vgrf_left_61,0.0006879884442682505,0.0002298236406035044
vgrf_right_93,0.0006872127057200306,0.0008621294946033767
vgrf_left_15,0.0006319453554053389,0.0008398904524094025
vgrf_right_71,0.0006316864368833608,0.0006118397662099841
vgrf_left_22,0.000631294903983104,0.00033460458207273686
vgrf_left_14,0.0006309337743899635,0.0006631476402103137
vgrf_left_20,0.0006306923143409637,0.0005846502476662316
vgrf_right_89,0.000630505931538905,0.0002143937789817685
vgrf_right_22,0.0006303287526373547,0.00028136310786708784
vgrf_right_33,0.000574054001378732,0.0006014327407923578
vgrf_right_31,0.0005732780397271319,0.0005735463629229137
vgrf_right_95,0.0005732678372283751,0.001025324802870702
vgrf_left_24,0.0005730756037811257,0.0004795128966659059
vgrf_right_90,0.0005722723514408834,0.0011605791575006758
vgrf_left_17,0.0005177103090983736,0.0004927788829793422
vgrf_left_16,0.0005173239539519204,0.0004943796924922627
vgrf_left_72,0.0005166268296137533,0.00021482544880807025
vgrf_left_78,0.0005160180665821467,0.0004569217780172276
vgrf_left_92,0.0005154821817775268,0.00033425741224869576
vgrf_right_97,0.00045980001481522593,0.0001401673631951203
vgrf_left_10,0.00045941407865806027,0.0003887334653155564
vgrf_right_16,0.00045860958911703165,0.00022930479455851582
vgrf_left_13,0.0004019728781765597,0.0001402596075870507
vgrf_right_4,0.0004019692414366727,0.0002292095096163688
vgrf_left_57,0.0004014030455491202,0.00022996402887954782
vgrf_right_49,0.0004013906759611441,0.00029227611642453414
vgrf_left_41,0.00040139067577429357,0.00029227704150322546
vgrf_right_50,0.00034440968202180676,0.00038066980678775865
vgrf_right_60,0.00034437328647114463,0.0004926374764888235
vgrf_right_59,0.00034397788946447514,0.0007117895923053266
vgrf_right_35,0.0003437799754314241,0.0004933655655744148
vgrf_left_8,0.0002886184480876519,0.0006530950106866967
vgrf_right_96,0.00028814366412681646,0.0005729535240411807
vgrf_right_58,0.00028753394116707296,0.00025613770078126096
vgrf_right_5,0.00028733921062573664,0.00025682921820264506
vgrf_left_89,0.0002873230720118469,0.0003624025895916845
vgrf_left_7,0.00028716164739537307,0.0005728797575903891
vgrf_left_90,0.00028713979837775573,0.0003619481199994072
vgrf_left_39,0.00028693360226803575,0.00018068369454188668
vgrf_right_36,0.00028673676220982716,0.00040495181085738413
vgrf_right_47,0.000286731476440516,0.00031416548945291845
vgrf_left_43,0.0002863523800104684,0.00031381841436865473
vgrf_right_32,0.00023051187816851558,0.0002810903903514563
vgrf_right_34,0.0002297005762802007,0.0003341648979919604
vgrf_left_40,0.0002295042540875869,0.00021428708474270403
vgrf_left_97,0.00022931519566125048,0.00021423658633399603
vgrf_right_62,0.00017289244480414023,0.0006927416510595354
vgrf_right_37,0.00017286704413097543,0.0004291009645366927
vgrf_left_64,0.0001728663952278442,0.0007380286709940162
vgrf_left_96,0.0001726878409792132,0.00029200066343696676
vgrf_left_71,0.00017246710742329084,0.00034396140977249756
vgrf_left_38,0.00017208432724569178,0.0005313281776159045
vgrf_right_53,0.00017189168861382332,0.0005613744632090962
vgrf_left_25,0.00017172861321603782,0.00038846153367130435
vgrf_left_65,0.0001715873442776017,0.0005907351395394511
vgrf_left_93,0.00011494801532601074,0.000987671348442098
vgrf_left_53,0.00011485603024976587,0.0006685940231109468
vgrf_left_44,0.00011467896562742386,0.00034316167740577923
vgrf_right_27,0.00011467677018435207,0.00029191518353786564
vgrf_right_68,0.00011465603382552204,0.00014042470757178133
vgrf_left_42,0.00011447963743469459,0.0003881914182125373
vgrf_right_7,0.0001144751997146809,0.00029256209275679184
vgrf_right_70,0.00011430334426638655,0.0002290298487676887
vgrf_right_17,5.781419209154315e-05,0.0001146501054388109
vgrf_right_98,5.761836910873619e-05,0.00011474780735323337
vgrf_left_4,5.742254612592923e-05,0.00011484509225185846
vgrf_left_46,5.742254612592923e-05,0.00011484509225185846
vgrf_left_45,5.7236625036072296e-05,0.0002141430711241855
vgrf_right_3,5.72334876995928e-05,0.00011446697539918559
vgrf_left_9,1.4313429209877882e-06,0.0003136143844419452
vgrf_right_51,9.967240350183814e-07,0.00018096302701708653
