feature,importance_mean,importance_std
orthopedic_insole,0.11877366029082652,0.0011340859684520852
session_type,0.10057155962677791,0.001209026758527176
bmi,0.06623643298803972,0.0008244853371264526
sex,0.06235662039888699,0.0007537185457042128
age,0.05373864184930873,0.0005982293691182526
height,0.03985402262483345,0.00047757882326441913
shoe_size,0.031045860909650003,0.0004333537413695206
body_weight,0.028276314882900944,0.0003346247720565121
vgrf_peak_mean,0.024197920151676898,0.0005448142119938127
body_mass,0.02411471808478749,0.0004060214864692607
loading_rate_mean,0.023286089473570536,0.0005454606023084278
loading_rate_sym,0.014981151902748424,0.0004769231565397432
vgrf_peak_diff,0.013130003326811157,0.00030959535779498664
vgrf_peak_max,0.009131422622626761,0.0002092320780661452
loading_rate_max,0.008598743661880136,0.0002821981500457828
walking_speed,0.0,0.0
shoe_condition,0.0,0.0
