feature,importance_mean,importance_std
session_type,0.275097055652486,0.0012921099092680214
orthopedic_insole,0.028175140212606763,0.001070637834230704
walking_speed,0.017536588310922464,0.00039818276225557487
vgrf_peak_mean,0.012309649364911524,0.0005070694477128175
loading_rate_mean,0.011323445594154857,0.00033215307558464945
bmi,0.010956421114750725,0.000705272660074048
loading_rate_sym,0.0051108564070109445,0.00103002182862871
age,0.003297936171503246,0.00042634423836964634
vgrf_peak_max,0.0023496108088819634,0.00031967862598864227
loading_rate_max,0.0019356267292744756,0.00010553197812695094
vgrf_peak_diff,0.0016617375200649986,0.0004020112183566958
shoe_condition,0.0005808595685041551,0.00025742287022717633
body_weight,-0.0032480230106877615,0.0001709584790895714
body_mass,-0.003527059196272453,0.00013378862867795583
shoe_size,-0.004074107880272781,0.000509041866768698
height,-0.0043617820477890755,0.0005891878027089333
sex,-0.005079396890217858,0.00048127428232027687
