feature,importance_mean,importance_std
session_type,0.1910447470152599,0.001503312801043596
orthopedic_insole,0.027118068470114266,0.003273231421801891
bmi,0.02374662815846986,0.0006743693151843796
loading_rate_mean,0.01956010907589507,0.000854001389131069
height,0.012449701047785245,0.0004809568125711359
loading_rate_sym,0.012113043499446308,0.0017597021377160293
vgrf_peak_mean,0.005694862368521014,0.0009589137644954166
shoe_size,0.00514644771885695,0.0002747619646868852
age,0.0024016853777022672,0.0001642640544071591
shoe_condition,0.0,0.0
walking_speed,0.0,0.0
body_mass,-0.0008964087789899988,0.0005074644387888697
body_weight,-0.001934621688996474,0.0006716356413255703
sex,-0.00410912860375765,0.00010575226004388031
vgrf_peak_diff,-0.006036968697052325,0.0011395072378155516
loading_rate_max,-0.006371830026659264,0.0002003006197954451
vgrf_peak_max,-0.006730453404948799,0.0002671940869278419
