feature,importance_mean,importance_std
vgrf_peak_unaff,0.04744103356507875,0.0008540539603281256
loading_rate_mean,0.04323642758553183,0.0013954029969779202
loading_rate_max,0.04156839400932617,0.0008081102394962186
loading_rate_asym,0.038842618899344095,0.0004957502873290395
vgrf_peak_asym,0.030446555828770715,0.0009680958068974116
vgrf_peak_aff,0.023848824355856633,0.0005073218906909121
vgrf_peak_mean,0.020292526122610254,0.0008803349715280723
vgrf_peak_max,0.01906948861027451,0.0018059756137801476
loading_rate_sym,0.012502252939767344,0.0007750365860566254
vgrf_peak_diff,0.00806268737819119,0.0006587510367678266
