subject_id,trial_id,emg_channel,torque_channel,lag_sec,sign_convention_verified,body_mass_normalized,side_mapping_scope
Sub01,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-3.4656249987812533,False,unknown,SIAT left-limb reference
Sub01,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-4.530729169171876,False,unknown,SIAT left-limb reference
Sub01,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-4.813020834531253,False,unknown,SIAT left-limb reference
Sub02,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,3.2802083299687514,False,unknown,SIAT left-limb reference
Sub02,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,5.4083333288125015,False,unknown,SIAT left-limb reference
Sub02,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-3.7562500008125,False,unknown,SIAT left-limb reference
Sub03,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,0.611458332125002,False,unknown,SIAT left-limb reference
Sub03,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,3.7828124981406273,False,unknown,SIAT left-limb reference
Sub03,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-0.4010416665937484,False,unknown,SIAT left-limb reference
Sub04,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-4.029166668734377,False,unknown,SIAT left-limb reference
Sub04,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,2.5588541670312486,False,unknown,SIAT left-limb reference
Sub04,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-1.714583336937502,False,unknown,SIAT left-limb reference
Sub05,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,3.786979172328125,False,unknown,SIAT left-limb reference
Sub05,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,5.074479171937501,False,unknown,SIAT left-limb reference
Sub05,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-4.393750000296876,False,unknown,SIAT left-limb reference
Sub06,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-5.428124999421875,False,unknown,SIAT left-limb reference
Sub06,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-5.4265624995312525,False,unknown,SIAT left-limb reference
Sub06,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-5.414583333703126,False,unknown,SIAT left-limb reference
Sub07,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,10.204687507843753,False,unknown,SIAT left-limb reference
Sub07,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,6.802083339843752,False,unknown,SIAT left-limb reference
Sub07,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-0.5260416638437491,False,unknown,SIAT left-limb reference
Sub08,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,5.8984374970625,False,unknown,SIAT left-limb reference
Sub08,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,8.196874996125,False,unknown,SIAT left-limb reference
Sub08,T01,sEMG: soleus,Kinetic: left ankle flexion torque,1.8499999994843748,False,unknown,SIAT left-limb reference
Sub09,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,0.8744791670624998,False,unknown,SIAT left-limb reference
Sub09,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,0.81927083409375,False,unknown,SIAT left-limb reference
Sub09,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-1.9723958278125,False,unknown,SIAT left-limb reference
Sub10,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,2.214583328546875,False,unknown,SIAT left-limb reference
Sub10,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,3.303124999890625,False,unknown,SIAT left-limb reference
Sub10,T01,sEMG: soleus,Kinetic: left ankle flexion torque,4.24843750025,False,unknown,SIAT left-limb reference
Sub11,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-0.5088541655156291,False,unknown,SIAT left-limb reference
Sub11,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,8.51354167284375,False,unknown,SIAT left-limb reference
Sub11,T01,sEMG: soleus,Kinetic: left ankle flexion torque,2.1531250032187472,False,unknown,SIAT left-limb reference
Sub12,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-4.601562495671878,False,unknown,SIAT left-limb reference
Sub12,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-1.436979163359374,False,unknown,SIAT left-limb reference
Sub12,T01,sEMG: soleus,Kinetic: left ankle flexion torque,5.148437500359376,False,unknown,SIAT left-limb reference
