subject_id,task,data_path,label_path,has_data,has_label,excluded_reason
Sub01,WAK,data\source\SIAT_LLMD20230404\Sub01\Data\Sub01_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub01\Labels\Sub01_WAK_Label.csv,True,True,
Sub02,WAK,data\source\SIAT_LLMD20230404\Sub02\Data\Sub02_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub02\Labels\Sub02_WAK_Label.csv,True,True,
Sub03,WAK,data\source\SIAT_LLMD20230404\Sub03\Data\Sub03_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub03\Labels\Sub03_WAK_Label.csv,True,True,
Sub04,WAK,data\source\SIAT_LLMD20230404\Sub04\Data\Sub04_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub04\Labels\Sub04_WAK_Label.csv,True,True,
Sub05,WAK,data\source\SIAT_LLMD20230404\Sub05\Data\Sub05_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub05\Labels\Sub05_WAK_Label.csv,True,True,
Sub06,WAK,data\source\SIAT_LLMD20230404\Sub06\Data\Sub06_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub06\Labels\Sub06_WAK_Label.csv,True,True,
Sub07,WAK,data\source\SIAT_LLMD20230404\Sub07\Data\Sub07_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub07\Labels\Sub07_WAK_Label.csv,True,True,
Sub08,WAK,data\source\SIAT_LLMD20230404\Sub08\Data\Sub08_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub08\Labels\Sub08_WAK_Label.csv,True,True,
Sub09,WAK,data\source\SIAT_LLMD20230404\Sub09\Data\Sub09_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub09\Labels\Sub09_WAK_Label.csv,True,True,
Sub10,WAK,data\source\SIAT_LLMD20230404\Sub10\Data\Sub10_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub10\Labels\Sub10_WAK_Label.csv,True,True,
Sub11,WAK,data\source\SIAT_LLMD20230404\Sub11\Data\Sub11_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub11\Labels\Sub11_WAK_Label.csv,True,True,
Sub12,WAK,data\source\SIAT_LLMD20230404\Sub12\Data\Sub12_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub12\Labels\Sub12_WAK_Label.csv,True,True,
