subject_id,trial_id,task,data_rows,label_rows,joined_rows,valid_status_rows,invalid_status_rows,invalid_status_rate,max_time_diff_sec,group_count,status_counts
Sub01,T01,WAK,27164,27164,27164,24200,2964,0.10911500515388013,4.999996875110213e-05,10,"{5.0: 7956, 3.0: 6092, 2.0: 5771, 4.0: 2289, 1.0: 2092}"
Sub02,T01,WAK,20719,20719,20719,18269,2450,0.11824895023891115,4.999985937592655e-05,10,"{2.0: 5980, 5.0: 5304, 3.0: 2945, 4.0: 2328, 1.0: 1712}"
Sub03,T01,WAK,20795,20795,20795,18436,2359,0.11344073094493869,4.9999937500100344e-05,10,"{2.0: 5990, 5.0: 5725, 3.0: 2719, 4.0: 2159, 1.0: 1843}"
Sub04,T01,WAK,22660,22660,22660,18967,3693,0.16297440423654017,4.9999890626040155e-05,10,"{2.0: 7053, 5.0: 5326, 3.0: 2648, 4.0: 2594, 1.0: 1346}"
Sub05,T01,WAK,24249,24249,24249,21307,2942,0.12132459070477133,5.000000000032756e-05,10,"{2.0: 8377, 5.0: 6299, 4.0: 2758, 1.0: 1956, 3.0: 1917}"
Sub06,T01,WAK,23766,23766,23766,21374,2392,0.10064798451569469,4.999981250097818e-05,10,"{2.0: 6991, 5.0: 6249, 3.0: 3651, 4.0: 2766, 1.0: 1717}"
Sub07,T01,WAK,21835,21835,21835,19150,2685,0.1229677123883673,4.999998437504871e-05,10,"{5.0: 5776, 2.0: 5616, 3.0: 3880, 4.0: 1976, 1.0: 1902}"
Sub08,T01,WAK,22347,22347,22347,19667,2680,0.11992661207320893,4.9999875001205396e-05,10,"{5.0: 6426, 2.0: 6010, 3.0: 3173, 4.0: 2143, 1.0: 1915}"
Sub09,T01,WAK,26484,26484,26484,23005,3479,0.13136233197402206,4.9999953128931907e-05,10,"{3.0: 9004, 5.0: 6960, 2.0: 3153, 4.0: 2555, 1.0: 1333}"
Sub10,T01,WAK,20184,20184,20184,18163,2021,0.10012881490289338,4.999996875110213e-05,10,"{5.0: 5525, 2.0: 5345, 3.0: 3234, 4.0: 2367, 1.0: 1692}"
Sub11,T01,WAK,26589,26589,26589,23525,3064,0.11523562375418406,4.99997656264739e-05,10,"{5.0: 7102, 2.0: 7042, 3.0: 4388, 4.0: 2732, 1.0: 2261}"
Sub12,T01,WAK,19844,19844,19844,17511,2333,0.1175670227776658,4.999992187748603e-05,10,"{2.0: 5654, 5.0: 4847, 3.0: 3270, 4.0: 2405, 1.0: 1335}"
Sub13,T01,WAK,26690,26690,26690,22798,3892,0.14582240539527913,4.999995312515715e-05,10,"{2.0: 8664, 5.0: 6344, 3.0: 3608, 4.0: 2568, 1.0: 1614}"
Sub14,T01,WAK,21487,21487,21487,18909,2578,0.11997952250197794,4.9999828127589296e-05,10,"{2.0: 6073, 5.0: 5465, 3.0: 3061, 4.0: 2428, 1.0: 1882}"
Sub15,T01,WAK,20410,20410,20410,18016,2394,0.1172954434100931,4.999998437504871e-05,10,"{2.0: 5382, 5.0: 5317, 3.0: 3492, 4.0: 2215, 1.0: 1610}"
Sub16,T01,WAK,25994,25994,25994,22890,3104,0.11941217203970148,4.9999937500100344e-05,10,"{2.0: 6913, 5.0: 6352, 3.0: 4538, 4.0: 3169, 1.0: 1918}"
Sub17,T01,WAK,26404,26404,26404,23194,3210,0.12157248901681564,4.9999765625141634e-05,10,"{5.0: 7049, 3.0: 5894, 2.0: 5824, 4.0: 2808, 1.0: 1619}"
Sub19,T01,WAK,26451,26451,26451,23366,3085,0.11663075120033269,4.999987500475811e-05,10,"{5.0: 6950, 2.0: 6871, 3.0: 5010, 4.0: 2915, 1.0: 1620}"
Sub20,T01,WAK,22873,22873,22873,20573,2300,0.10055523980238709,4.9999937500544434e-05,10,"{5.0: 6391, 2.0: 5665, 3.0: 4175, 4.0: 2610, 1.0: 1732}"
Sub21,T01,WAK,21450,21450,21450,19009,2441,0.1137995337995338,4.999984375109179e-05,10,"{5.0: 5705, 2.0: 5414, 3.0: 3910, 4.0: 2640, 1.0: 1340}"
Sub22,T01,WAK,27086,27086,27086,23470,3616,0.13350070146939377,4.999995312537919e-05,10,"{5.0: 7316, 2.0: 7195, 3.0: 5101, 4.0: 2560, 1.0: 1298}"
Sub23,T01,WAK,26492,26492,26492,23517,2975,0.11229805224218632,4.999984375020361e-05,10,"{2.0: 6959, 5.0: 6679, 3.0: 4652, 4.0: 3030, 1.0: 2197}"
Sub24,T01,WAK,22062,22062,22062,19251,2811,0.1274136524340495,4.999998437504871e-05,10,"{3.0: 6542, 5.0: 5589, 2.0: 3274, 4.0: 2438, 1.0: 1408}"
Sub25,T01,WAK,19939,19939,19939,17751,2188,0.10973469080696123,4.999984375020361e-05,10,"{2.0: 5403, 5.0: 5286, 3.0: 2983, 4.0: 2138, 1.0: 1941}"
Sub26,T01,WAK,25422,25422,25422,22115,3307,0.13008417905750924,4.999976562913844e-05,10,"{2.0: 7303, 5.0: 6987, 3.0: 3460, 4.0: 2563, 1.0: 1802}"
