subject_id,trial_id,channel,peak_time,peak_phase_interval,emg_processing,torque_peak_definition
Sub01,T01,Kinetic: left hip adduction torque,2.266145835015625,MSE-TO,,maximum
Sub01,T01,Kinetic: left hip flexion torque,7.100520832484375,MWF-HS,,maximum
Sub01,T01,Kinetic: left knee flexion torque,6.251562499015625,MSE-TO,,maximum
Sub01,T01,Kinetic: left ankle flexion torque,9.31770833125,HS-MSF,,maximum
Sub01,T01,Kinetic: right hip adduction torque,0.723437497953125,MSE-TO,,maximum
Sub01,T01,Kinetic: right hip flexion torque,10.01770833125,MSE-TO,,maximum
Sub01,T01,Kinetic: right knee flexion torque,4.974479165765625,MSE-TO,,maximum
Sub01,T01,Kinetic: right ankle flexion torque,2.216145835015625,MSE-TO,,maximum
Sub01,T01,sEMG: tensor fascia lata,2.021354167671875,MSE-TO,rectified_envelope,
Sub01,T01,sEMG: rectus femoris,0.176562498578125,MSF-MSE,rectified_envelope,
Sub01,T01,sEMG: vastus medialis,13.646354167359377,HS-MSF,rectified_envelope,
Sub01,T01,sEMG: semimembranosus,10.811979165640626,HS-MSF,rectified_envelope,
Sub01,T01,sEMG: upper tibialis anterior,13.861979165546876,MSF-MSE,rectified_envelope,
Sub01,T01,sEMG: lower tibialis anterior,4.71458333371875,MSF-MSE,rectified_envelope,
Sub01,T01,sEMG: lateral gastrocnemius,12.783333330031253,MSE-TO,rectified_envelope,
Sub01,T01,sEMG: medial gastrocnemius,13.848437500421875,MSF-MSE,rectified_envelope,
Sub01,T01,sEMG: soleus,14.130729165781252,MSE-TO,rectified_envelope,
Sub02,T01,Kinetic: left hip adduction torque,5.178124996343751,MWF-HS,,maximum
Sub02,T01,Kinetic: left hip flexion torque,9.688020827343752,MSE-TO,,maximum
Sub02,T01,Kinetic: left knee flexion torque,1.546875001625,MSE-TO,,maximum
Sub02,T01,Kinetic: left ankle flexion torque,5.907291662078126,HS-MSF,,maximum
Sub02,T01,Kinetic: right hip adduction torque,0.5661458365625,MSE-TO,,maximum
Sub02,T01,Kinetic: right hip flexion torque,3.196874997546876,MWF-HS,,maximum
Sub02,T01,Kinetic: right knee flexion torque,1.630208331625,MSE-TO,,maximum
Sub02,T01,Kinetic: right ankle flexion torque,3.763020829187501,MSE-TO,,maximum
Sub02,T01,sEMG: tensor fascia lata,1.2411458338125,HS-MSF,rectified_envelope,
Sub02,T01,sEMG: rectus femoris,2.28177083165625,HS-MSF,rectified_envelope,
Sub02,T01,sEMG: vastus medialis,10.189062493875005,MWF-HS,rectified_envelope,
Sub02,T01,sEMG: semimembranosus,7.963541664156251,MWF-HS,rectified_envelope,
Sub02,T01,sEMG: upper tibialis anterior,9.666145829218753,MSE-TO,rectified_envelope,
Sub02,T01,sEMG: lower tibialis anterior,8.118749998531252,HS-MSF,rectified_envelope,
Sub02,T01,sEMG: lateral gastrocnemius,2.627083332109375,MSE-TO,rectified_envelope,
Sub02,T01,sEMG: medial gastrocnemius,0.498958333265625,MSE-TO,rectified_envelope,
Sub02,T01,sEMG: soleus,9.663541662890626,MSE-TO,rectified_envelope,
Sub03,T01,Kinetic: left hip adduction torque,10.338541670812502,HS-MSF,,maximum
Sub03,T01,Kinetic: left hip flexion torque,6.635416673375001,MSE-TO,,maximum
Sub03,T01,Kinetic: left knee flexion torque,10.322395836484375,HS-MSF,,maximum
Sub03,T01,Kinetic: left ankle flexion torque,10.355729169015628,HS-MSF,,maximum
Sub03,T01,Kinetic: right hip adduction torque,1.70468750196875,MSE-TO,,maximum
Sub03,T01,Kinetic: right hip flexion torque,3.368229168250001,MWF-HS,,maximum
Sub03,T01,Kinetic: right knee flexion torque,7.168750004125001,MWF-HS,,maximum
Sub03,T01,Kinetic: right ankle flexion torque,3.955208335828126,MSE-TO,,maximum
Sub03,T01,sEMG: tensor fascia lata,9.393229170359376,HS-MSF,rectified_envelope,
Sub03,T01,sEMG: rectus femoris,10.399479169453128,HS-MSF,rectified_envelope,
Sub03,T01,sEMG: vastus medialis,8.363541669062501,HS-MSF,rectified_envelope,
Sub03,T01,sEMG: semimembranosus,9.376041669843753,HS-MSF,rectified_envelope,
Sub03,T01,sEMG: upper tibialis anterior,4.626562504406251,HS-MSF,rectified_envelope,
Sub03,T01,sEMG: lower tibialis anterior,3.493229170718751,HS-MSF,rectified_envelope,
Sub03,T01,sEMG: lateral gastrocnemius,9.744270836890626,MSE-TO,rectified_envelope,
Sub03,T01,sEMG: medial gastrocnemius,6.572916670875001,MSF-MSE,rectified_envelope,
Sub03,T01,sEMG: soleus,10.756770835609377,MSE-TO,rectified_envelope,
Sub04,T01,Kinetic: left hip adduction torque,7.792708334171875,HS-MSF,,maximum
Sub04,T01,Kinetic: left hip flexion torque,9.517187499125,MSE-TO,,maximum
Sub04,T01,Kinetic: left knee flexion torque,4.086458333375,MSE-TO,,maximum
Sub04,T01,Kinetic: left ankle flexion torque,6.606770832937499,HS-MSF,,maximum
Sub04,T01,Kinetic: right hip adduction torque,5.334895835984375,MSE-TO,,maximum
Sub04,T01,Kinetic: right hip flexion torque,3.515624999484374,MWF-HS,,maximum
Sub04,T01,Kinetic: right knee flexion torque,4.619791668875,MWF-HS,,maximum
Sub04,T01,Kinetic: right ankle flexion torque,6.7401041674375,MSF-MSE,,maximum
Sub04,T01,sEMG: tensor fascia lata,2.262499995984375,MWF-HS,rectified_envelope,
Sub04,T01,sEMG: rectus femoris,9.0687499994375,MSF-MSE,rectified_envelope,
Sub04,T01,sEMG: vastus medialis,11.3380208358125,HS-MSF,rectified_envelope,
Sub04,T01,sEMG: semimembranosus,6.236458334578125,TO-MWF,rectified_envelope,
Sub04,T01,sEMG: upper tibialis anterior,7.13697916784375,MSE-TO,rectified_envelope,
Sub04,T01,sEMG: lower tibialis anterior,10.679166668531252,MSE-TO,rectified_envelope,
Sub04,T01,sEMG: lateral gastrocnemius,10.635937501671876,MSE-TO,rectified_envelope,
Sub04,T01,sEMG: medial gastrocnemius,4.04791666590625,MSF-MSE,rectified_envelope,
Sub04,T01,sEMG: soleus,8.321354169875,MSE-TO,rectified_envelope,
Sub05,T01,Kinetic: left hip adduction torque,12.011458334,HS-MSF,,maximum
Sub05,T01,Kinetic: left hip flexion torque,4.448437498765625,TO-MWF,,maximum
Sub05,T01,Kinetic: left knee flexion torque,11.35000000146875,MSE-TO,,maximum
Sub05,T01,Kinetic: left ankle flexion torque,6.88020833671875,HS-MSF,,maximum
Sub05,T01,Kinetic: right hip adduction torque,1.877083334453125,MSE-TO,,maximum
Sub05,T01,Kinetic: right hip flexion torque,10.916145838031252,MSF-MSE,,maximum
Sub05,T01,Kinetic: right knee flexion torque,1.2140625028125,MWF-HS,,maximum
Sub05,T01,Kinetic: right ankle flexion torque,12.161458334000002,MSF-MSE,,maximum
Sub05,T01,sEMG: tensor fascia lata,8.226562503859377,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: rectus femoris,10.845312501656252,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: vastus medialis,10.877604169875,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: semimembranosus,9.617187503078126,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: upper tibialis anterior,8.122916671,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: lower tibialis anterior,7.345312501421875,MSF-MSE,rectified_envelope,
Sub05,T01,sEMG: lateral gastrocnemius,3.093229164390625,MSE-TO,rectified_envelope,
Sub05,T01,sEMG: medial gastrocnemius,1.80572916478125,MSF-MSE,rectified_envelope,
Sub05,T01,sEMG: soleus,11.273958337015626,MSF-MSE,rectified_envelope,
