phase_interval,functional_phase,channel,mean,std,subject_count,task,label_schema,processing_level,ci95_low,ci95_high,insufficient_subject_count
HS-MSF,loading_response,Kinetic: left hip adduction torque,-9.793919647402348,4.208827988910901,39,WAK,wak_5_interval,mean_aggregated,-18.043222505667714,-1.544616789136981,False
HS-MSF,loading_response,Kinetic: left hip flexion torque,-20.327211506765373,7.175188877305596,39,WAK,wak_5_interval,mean_aggregated,-34.39058170628434,-6.263841307246405,False
HS-MSF,loading_response,Kinetic: left knee flexion torque,-2.341399556045823,6.214615872974029,39,WAK,wak_5_interval,mean_aggregated,-14.522046667074921,9.839247554983274,False
HS-MSF,loading_response,Kinetic: left ankle flexion torque,-0.9014607702659502,2.769444856100814,39,WAK,wak_5_interval,mean_aggregated,-6.329572688223545,4.526651147691645,False
HS-MSF,loading_response,Kinetic: right hip adduction torque,-26.262696138376107,8.429883604851508,39,WAK,wak_5_interval,mean_aggregated,-42.785268003885065,-9.740124272867153,False
HS-MSF,loading_response,Kinetic: right hip flexion torque,16.87570521216806,6.105677187162703,39,WAK,wak_5_interval,mean_aggregated,4.908577925329164,28.84283249900696,False
HS-MSF,loading_response,Kinetic: right knee flexion torque,3.1663093044019677,6.141154828037316,39,WAK,wak_5_interval,mean_aggregated,-8.870354158551173,15.202972767355106,False
HS-MSF,loading_response,Kinetic: right ankle flexion torque,-46.00848497840047,13.923625852799542,39,WAK,wak_5_interval,mean_aggregated,-73.29879164988756,-18.718178306913366,False
MSE-TO,terminal_stance,Kinetic: left hip adduction torque,-20.787225355191076,8.932751848380333,39,WAK,wak_5_interval,mean_aggregated,-38.29541897801653,-3.279031732365624,False
MSE-TO,terminal_stance,Kinetic: left hip flexion torque,17.481838444709624,8.07791009430531,39,WAK,wak_5_interval,mean_aggregated,1.6491346598712173,33.31454222954803,False
MSE-TO,terminal_stance,Kinetic: left knee flexion torque,12.456547810384158,6.563989378429591,39,WAK,wak_5_interval,mean_aggregated,-0.40887137133784,25.321966992106155,False
MSE-TO,terminal_stance,Kinetic: left ankle flexion torque,-65.78497850559084,12.107108236661045,39,WAK,wak_5_interval,mean_aggregated,-89.51491064944649,-42.055046361735194,False
MSE-TO,terminal_stance,Kinetic: right hip adduction torque,-7.821190675599078,2.9221847362290942,39,WAK,wak_5_interval,mean_aggregated,-13.548672758608102,-2.093708592590053,False
MSE-TO,terminal_stance,Kinetic: right hip flexion torque,-15.024127237928916,5.644940349521396,39,WAK,wak_5_interval,mean_aggregated,-26.088210322990854,-3.9600441528669794,False
MSE-TO,terminal_stance,Kinetic: right knee flexion torque,6.112293241735255,4.147804528693278,39,WAK,wak_5_interval,mean_aggregated,-2.0174036345035695,14.24199011797408,False
MSE-TO,terminal_stance,Kinetic: right ankle flexion torque,-0.30284644672308364,1.7627510653743825,39,WAK,wak_5_interval,mean_aggregated,-3.7578385348568735,3.1521456414107063,False
MSF-MSE,mid_stance_control,Kinetic: left hip adduction torque,-30.98405441443254,8.164895494160982,39,WAK,wak_5_interval,mean_aggregated,-46.98724958298806,-14.980859245877014,False
MSF-MSE,mid_stance_control,Kinetic: left hip flexion torque,-2.5945965668450635,8.569188020128575,39,WAK,wak_5_interval,mean_aggregated,-19.39020508629707,14.201011952606944,False
MSF-MSE,mid_stance_control,Kinetic: left knee flexion torque,0.19034602292961475,8.251317042225866,39,WAK,wak_5_interval,mean_aggregated,-15.98223537983308,16.36292742569231,False
MSF-MSE,mid_stance_control,Kinetic: left ankle flexion torque,-31.39396222316773,9.639152745377798,39,WAK,wak_5_interval,mean_aggregated,-50.28670160410822,-12.501222842227246,False
MSF-MSE,mid_stance_control,Kinetic: right hip adduction torque,-5.139736944114987,1.1964468234215975,39,WAK,wak_5_interval,mean_aggregated,-7.484772718021318,-2.794701170208656,False
MSF-MSE,mid_stance_control,Kinetic: right hip flexion torque,3.373762936992065,3.397426759700774,39,WAK,wak_5_interval,mean_aggregated,-3.285193512021452,10.032719386005581,False
MSF-MSE,mid_stance_control,Kinetic: right knee flexion torque,1.803149109656084,1.6139499461493754,39,WAK,wak_5_interval,mean_aggregated,-1.3601927847966917,4.96649100410886,False
MSF-MSE,mid_stance_control,Kinetic: right ankle flexion torque,1.0636886167316304,0.975289262510896,39,WAK,wak_5_interval,mean_aggregated,-0.8478783377897257,2.9752555712529865,False
MWF-HS,swing_recovery,Kinetic: left hip adduction torque,4.275644662402336,1.4377169745158445,39,WAK,wak_5_interval,mean_aggregated,1.4577193923512812,7.093569932453391,False
MWF-HS,swing_recovery,Kinetic: left hip flexion torque,-5.046861491478057,2.7242788336797843,39,WAK,wak_5_interval,mean_aggregated,-10.386448005490434,0.2927250225343201,False
MWF-HS,swing_recovery,Kinetic: left knee flexion torque,8.148151908822845,1.6265509952408577,39,WAK,wak_5_interval,mean_aggregated,4.9601119581507636,11.336191859494926,False
