subject_id,trial_id,potential_windows,accepted_windows,dropped_windows,dropped_window_rate,window_size,overlap,step
Sub01,T01,483,392,91,0.18840579710144928,100,50,50
Sub02,T01,364,272,92,0.25274725274725274,100,50,50
Sub03,T01,367,274,93,0.25340599455040874,100,50,50
Sub04,T01,378,294,84,0.2222222222222222,100,50,50
Sub05,T01,425,339,86,0.2023529411764706,100,50,50
Sub06,T01,426,335,91,0.2136150234741784,100,50,50
Sub07,T01,382,289,93,0.24345549738219896,100,50,50
Sub08,T01,392,296,96,0.24489795918367346,100,50,50
Sub09,T01,459,372,87,0.1895424836601307,100,50,50
Sub10,T01,362,269,93,0.2569060773480663,100,50,50
Sub11,T01,469,375,94,0.20042643923240938,100,50,50
Sub12,T01,349,258,91,0.2607449856733524,100,50,50
Sub13,T01,454,366,88,0.19383259911894274,100,50,50
Sub14,T01,377,285,92,0.2440318302387268,100,50,50
Sub15,T01,359,268,91,0.25348189415041783,100,50,50
Sub16,T01,456,364,92,0.20175438596491227,100,50,50
Sub17,T01,462,371,91,0.19696969696969696,100,50,50
Sub19,T01,466,378,88,0.1888412017167382,100,50,50
Sub20,T01,410,314,96,0.23414634146341465,100,50,50
Sub21,T01,379,290,89,0.23482849604221637,100,50,50
Sub22,T01,468,383,85,0.18162393162393162,100,50,50
Sub23,T01,469,379,90,0.19189765458422176,100,50,50
Sub24,T01,384,298,86,0.22395833333333334,100,50,50
Sub25,T01,354,259,95,0.268361581920904,100,50,50
Sub26,T01,441,354,87,0.19727891156462585,100,50,50
Sub27,T01,465,375,90,0.1935483870967742,100,50,50
Sub28,T01,461,373,88,0.19088937093275488,100,50,50
Sub29,T01,460,373,87,0.1891304347826087,100,50,50
Sub30,T01,381,287,94,0.24671916010498687,100,50,50
Sub31,T01,418,328,90,0.215311004784689,100,50,50
Sub32,T01,375,282,93,0.248,100,50,50
Sub33,T01,390,299,91,0.23333333333333334,100,50,50
Sub34,T01,355,263,92,0.2591549295774648,100,50,50
Sub35,T01,467,381,86,0.1841541755888651,100,50,50
Sub36,T01,466,380,86,0.18454935622317598,100,50,50
Sub37,T01,405,313,92,0.2271604938271605,100,50,50
Sub38,T01,351,259,92,0.2621082621082621,100,50,50
Sub39,T01,362,270,92,0.2541436464088398,100,50,50
Sub40,T01,366,279,87,0.23770491803278687,100,50,50
