feature,importance_mean,importance_std
bmi,0.046919796023680724,0.002538648226628834
loading_rate_sym,0.01947939351001977,0.0021295522587418034
shoe_size,0.019091705414436545,0.0032692649513077388
age,0.01702971569588201,0.000582845446195903
height,0.012519237035353603,0.0013348411048780154
vgrf_peak_mean,0.00963885364999657,0.001221063610995972
vgrf_peak_diff,0.0085353743200558,0.0017008561057526989
vgrf_left_82,0.0060881130410081145,0.0005851416164274774
body_weight,0.006014985018283481,0.0008997530836245913
vgrf_left_84,0.005921796267090484,0.0013713015328769452
vgrf_left_9,0.005858697125217804,0.0008601017588836386
vgrf_right_81,0.005810737668431276,0.0004714160262719838
sex,0.00579155047254869,0.0015802945298022122
vgrf_right_83,0.005756405491846239,0.0007341332342541277
vgrf_left_14,0.0056969987358537425,0.0005317729655723113
vgrf_left_8,0.005584587906165806,0.0006615902858800022
vgrf_left_85,0.005538750069142906,0.0009717558514099812
vgrf_right_85,0.005538469371061306,0.00115517042794424
vgrf_right_9,0.005533321491673693,0.0006789643995041853
vgrf_left_10,0.005530218433203382,0.0005588849701697586
vgrf_left_83,0.005428314099510989,0.0010610134529642108
vgrf_left_79,0.0054273593053594475,0.0005847376051502933
vgrf_left_88,0.005374198413374609,0.0005911322507018385
vgrf_right_84,0.0053741792196519535,0.00021961662149687488
vgrf_left_81,0.005373883953232572,0.0006623785296235357
vgrf_left_80,0.005373016408234154,0.0006630661054403987
vgrf_left_15,0.005312871574886735,0.0005630628087972831
vgrf_left_13,0.005311858244364265,0.0014565646132628995
vgrf_right_80,0.005263728246057609,0.0006350156022537056
vgrf_right_11,0.005260406813103069,0.0009081002621730593
vgrf_left_12,0.005255810282591478,0.0009421297817085865
vgrf_right_82,0.005153562339755169,0.0006809198684886977
vgrf_left_86,0.005098384309871728,0.0006159704849395234
body_mass,0.0050318787229273855,0.0006624210356399102
vgrf_right_79,0.0049899301853721266,0.0004386035891241683
vgrf_right_12,0.004930297604867784,0.0004897435805512868
vgrf_right_16,0.00493001092561336,0.0004572559383095416
vgrf_left_11,0.004874607232376804,0.0009061749311428028
loading_rate_mean,0.004873587583032491,0.00116690455309723
vgrf_right_87,0.004826278129905259,0.0007479208860578314
vgrf_right_13,0.00482341328210203,0.001130918181329919
vgrf_left_19,0.0048212812445577406,0.0010638756126639267
vgrf_left_87,0.00477074906695798,0.0005360569669055382
vgrf_left_16,0.004765281976439018,0.0005086024642118091
vgrf_right_86,0.004715908972231708,0.0008401617691829293
vgrf_right_10,0.004710366453266057,0.0005602377927981278
vgrf_right_8,0.004656993745245886,0.00045726119248080374
vgrf_right_19,0.004655440434878111,0.0003868285511179905
vgrf_left_7,0.004599507947442727,0.0004020649657673517
vgrf_right_78,0.004550535150501545,0.0008438082250470538
vgrf_right_76,0.0045501737777784435,0.000786518262574128
