feature,importance_mean,importance_std
bmi,0.05822357402767142,0.0025182593690082637
loading_rate_sym,0.02138129503251627,0.002496387011021733
age,0.01902120466468371,0.0010947457516233485
shoe_size,0.011752342830573114,0.00038946266874269314
vgrf_peak_mean,0.008404112336491942,0.002299369549005129
vgrf_right_84,0.006920310570707589,0.000558213254467918
vgrf_right_82,0.006919331981576215,0.000891788605700707
height,0.0067703444872509785,0.0009049686299650197
vgrf_right_83,0.006531298104812277,0.0006578398810617227
vgrf_right_80,0.006422310089214256,0.0007314749222513812
vgrf_right_85,0.00609929566441878,0.0007470824070982453
vgrf_right_81,0.005984553967769623,0.0007453488277815808
vgrf_right_87,0.005820338154311178,0.0009088218718117516
vgrf_right_88,0.005766798706558207,0.0006264508672425488
vgrf_right_86,0.005709788853095388,0.000893706911411142
vgrf_peak_diff,0.0055075385118844135,0.0016431034715005041
vgrf_right_77,0.005489499643713347,0.0010120254556130535
vgrf_right_12,0.005373736583131361,0.000892512865144149
vgrf_right_79,0.005325265405565482,0.0006621955568728909
vgrf_left_79,0.00532474991743892,0.00047998333611783323
vgrf_right_78,0.005218027086700805,0.0007766986525892761
vgrf_right_14,0.00509851785844242,0.0006419381493658607
vgrf_left_82,0.0049968299347710856,0.0009100745916920314
vgrf_right_11,0.00493375877424056,0.000980842829648358
vgrf_right_8,0.0049328485842194516,0.0006722389372064217
vgrf_left_10,0.004931652665664888,0.0009211923391209428
vgrf_right_13,0.004931153227173635,0.0007181853377431001
vgrf_left_85,0.004882383282632974,0.0009550024292108462
vgrf_right_18,0.004881505572512501,0.0003207887601101369
vgrf_left_80,0.004828276051934699,0.000894024343869092
vgrf_right_20,0.004826004952476581,0.000879800283012873
vgrf_right_10,0.004824577277537889,0.0006620920809521759
vgrf_right_76,0.004779421749313673,0.0008050431483923101
vgrf_left_11,0.004718654171521263,0.0008740954276758101
vgrf_left_86,0.004716343886401608,0.0008398576727624428
vgrf_left_87,0.004665000719040591,0.0006237970111625672
vgrf_left_84,0.004663616720827002,0.0002998505762468927
vgrf_right_17,0.004663567425984838,0.0009650291744754206
vgrf_left_18,0.004655069454835426,0.0013106164820691228
vgrf_left_83,0.004611836386987233,0.0003193323072895307
vgrf_right_9,0.004553067407545575,0.0011714333056210447
vgrf_left_13,0.004495687283493988,0.0010773149495728906
vgrf_right_74,0.004447220218293024,0.001269491961154412
vgrf_left_14,0.004440668678250925,0.0010023888209571687
vgrf_right_19,0.004389288959947457,0.0009961331955737867
vgrf_right_15,0.00438704214536303,0.0008335703893991648
vgrf_right_7,0.004386506524956335,0.00034668644133521427
vgrf_left_9,0.004385611025515446,0.0007555860938385317
loading_rate_mean,0.004330390908226312,0.0009963896023980233
vgrf_right_89,0.004282020859565883,0.0008966121512993456
vgrf_right_22,0.004278328243010265,0.0005934020383572796
vgrf_left_12,0.004273324413798041,0.0004090203499031552
vgrf_right_21,0.004226097272626283,0.0007101123222881106
vgrf_left_77,0.00422319328265035,0.0005899388993719776
vgrf_left_17,0.004222363657693573,0.0007894878164530549
vgrf_left_8,0.004216534220054724,0.0006146426325383451
body_mass,0.00421566377023661,0.0002793103802164834
vgrf_left_15,0.004166407847359643,0.000532815841723428
vgrf_right_73,0.004119174830808392,0.0005198708692812981
vgrf_left_19,0.0041095241473222185,0.0011102269622109925
vgrf_left_75,0.004003037083650551,0.0009905342739003134
vgrf_right_16,0.003947526175403571,0.000508139313827822
vgrf_right_75,0.003897515513280636,0.0006093910845381382
vgrf_left_78,0.0037292090764646122,0.0005618856095823818
vgrf_left_20,0.0037291568763022642,0.000989163801735027
vgrf_left_81,0.003675024014444861,0.00032920143630944354
vgrf_left_16,0.003562768762493329,0.0008333560361618732
vgrf_right_25,0.0034522495311905877,0.0010195306550481913
vgrf_right_72,0.0034039460190204984,0.0008071010555599333
vgrf_left_76,0.0033470481033075704,0.0012068025114677133
vgrf_left_6,0.003289310733031314,0.0003869903445682692
vgrf_right_24,0.003288058643233649,0.0005206353399919504
vgrf_right_90,0.003239239134273486,0.0004370741630379958
vgrf_left_88,0.0031832816904397766,0.0003726853745557128
vgrf_right_6,0.0031810211285455913,0.0007868781877311473
vgrf_right_23,0.00307184015528712,0.0003646035793007753
vgrf_left_74,0.0030181430059238014,0.0004559531234443964
vgrf_left_22,0.002958667315638941,0.0007421314869531337
vgrf_left_21,0.0029032967454835747,0.0008620953677826174
vgrf_left_7,0.0029006825651858303,0.0011189468534944526
body_weight,0.0028906043343300825,0.0009248748197871695
vgrf_left_89,0.002797537082862811,0.00047196667095206386
vgrf_left_90,0.002579603739060632,0.0004768547220554135
vgrf_left_72,0.0025232449058762096,0.0006326549701238935
vgrf_right_27,0.0025176254040101486,0.000586789114989401
vgrf_right_91,0.00246775918062474,0.0006263538539239805
